zip,population,density
00601,17242,111.4
00602,38442,523.5
00603,48814,667.9
00606,6437,60.4
00610,27073,312
00612,60303,382.8
00616,10765,368.9
00617,23974,625
00622,6578,104.6
00623,42427,437.8
00624,22707,234.7
00627,32222,292.8
00631,1568,177.8
00637,22975,283.4
00638,16701,110.7
00641,27571,128.8
00646,37494,711.6
00647,5643,156.7
00650,14760,189.7
00652,3697,263.2
00653,11140,337.1
00656,18979,255.9
00659,40390,387.7
00660,16180,587
00662,40290,376.6
00664,14991,142.4
00667,23590,166.2
00669,25653,186.6
00670,8498,83.1
00674,39859,381.8
00676,36995,308.6
00677,14311,411.2
00678,26091,407.5
00680,46395,349.6
00682,32359,874.3
00683,30424,249.9
00685,38039,213.3
00687,31320,323.9
00688,12202,164.3
00690,5352,857.7
00692,35840,541.2
00693,54428,599.3
00694,69,158.4
00698,36312,231.7
00703,26320,372.2
00704,8274,678.9
00705,23176,309.3
00707,10964,224.1
00714,17998,516.8
00715,2972,179.4
00716,28089,1523.3
00717,16659,3390.6
00718,25715,227.1
00719,29119,427.3
00720,21276,149.8
00723,17393,161.2
00725,80555,817.3
00727,54823,1048.6
00728,39698,1108.2
00729,51593,611.1
00730,31634,2118.2
00731,12722,125.6
00735,12404,227.4
00736,47411,361.1
00738,30376,457.4
00739,36847,485.1
00740,1625,1876.9
00741,4880,812.1
00745,51429,411.9
00751,21009,190.1
00754,37727,308.9
00757,22066,301.1
00765,8607,184.5
00766,23201,255.4
00767,34166,264.9
00769,39121,203.1
00771,37165,438.3
00772,20055,608.6
00773,18547,318.7
00775,1299,65.3
00777,39994,591
00778,46675,591.7
00780,11653,264.8
00782,18229,279.7
00783,33372,337.3
00784,40685,310.2
00786,348,535.8
00791,48569,558
00794,28755,334.6
00795,44766,406.8
00901,6536,2792.2
00906,184,485
00907,16202,5598
00909,4989,3940.6
00911,7242,6996.3
00912,5455,7880.9
00913,8406,11154.2
00915,26131,9073.9
00917,18212,6265.8
00918,16063,3272.8
00920,16809,2430.1
00921,33394,5452.9
00923,24028,5502.9
00924,49508,4667.1
00925,6924,7509
00926,96530,1739.6
00927,13351,2195.3
00934,79,148.4
00936,812,1629.4
00949,73891,1806.9
00950,0,1.5
00951,0,32.5
00952,8156,3122.6
00953,71891,1056
00956,65355,1156.6
00957,38915,3816.9
00959,47459,3042.5
00960,2221,751.8
00961,30784,2419.3
00962,19593,2274.4
00965,7314,5230.2
00966,15710,1999.6
00968,3554,2933.4
00969,42525,3338.3
00971,26640,749.5
00976,58893,1502.5
00979,15897,4207.9
00982,14241,4473.5
00983,34798,4373.3
00985,31845,1734.9
00987,57181,989.3
01001,17621,562.8
01002,30066,203.7
01003,11238,5629.7
01005,4991,44.3
01007,14967,107.5
01008,1197,9.1
01009,249,352.1
01010,3739,40.1
01011,1448,16.7
01012,560,19.5
01013,23065,1589.6
01020,30097,914.6
01022,2499,198.3
01026,954,15.2
01027,17848,168.4
01028,16200,469.2
01029,651,19.2
01030,11123,381.2
01031,1197,62.2
01032,533,18.7
01033,6333,86.4
01034,2179,10.9
01035,5310,87.8
01036,5191,101.3
01037,798,22.9
01038,2867,98.4
01039,1042,39
01040,40376,727.5
01050,2422,25.5
01053,1702,126.8
01054,1983,31.4
01056,21336,299.6
01057,8745,73.3
01060,15779,540.2
01062,10495,237.2
01063,592,4278.5
01066,9,34.7
01068,1840,35.3
01069,8698,116.4
01070,604,11.8
01071,1270,39.6
01072,1536,28.4
01073,6140,79.4
01074,548,1448.3
01075,17763,382
01077,9727,119
01079,658,237.5
01080,2802,521.9
01081,1941,45.2
01082,10586,86.4
01083,2986,70.8
01084,174,7.4
01085,41942,265.9
01086,372,7144.9
01088,416,49.8
01089,28666,655.3
01092,1425,80.2
01093,283,24.9
01094,282,118.7
01095,14690,245.8
01096,2695,27
01097,59,22.9
01098,1196,13.6
01103,2389,2080
01104,23876,1692.5
01105,11957,3836.5
01106,16022,667.1
01107,11582,2974.5
01108,27850,2766.1
01109,29903,2145.9
01118,14980,1511
01119,13626,1539.2
01128,2672,911.2
01129,6762,790.8
01151,8807,1417.7
01199,0,0
01201,44607,339.2
01220,8209,135.1
