Zip,Median,Mean
1001,"56,663","66,688"
1002,"49,853","75,063"
1003,"28,462","35,121"
1005,"75,423","82,442"
1007,"79,076","85,802"
1008,"63,980","78,391"
1009,"51,452","66,737"
1010,"75,625","80,919"
1011,"63,476","77,443"
1012,"58,750","74,722"
1013,"36,578","46,179"
1020,"50,058","58,516"
1022,"50,440","60,797"
1026,"60,320","71,505"
1027,"58,573","66,613"
1028,"80,252","94,891"
1029,"62,955","97,075"
1030,"71,106","81,727"
1031,"61,250","76,417"
1032,"67,692","79,796"
1034,"63,980","78,391"
1035,"69,911","73,973"
1036,"78,869","95,493"
1037,"61,250","76,417"
1038,"53,939","72,430"
1039,"66,284","78,497"
1040,"35,549","43,615"
1050,"62,097","70,566"
1053,"60,477","77,611"
1054,"67,831","86,678"
1056,"63,318","72,027"
1057,"73,254","78,485"
1060,"48,069","67,478"
1062,"60,686","82,398"
1063,"40,694","32,047"
1066,"53,939","72,430"
1068,"77,396","81,314"
1069,"50,345","65,297"
1070,"60,320","71,505"
1071,"63,980","78,391"
1072,"67,831","86,678"
1073,"80,738","94,452"
1074,"75,423","82,442"
1075,"63,053","76,027"
1077,"73,645","81,585"
1079,"51,452","66,737"
1080,"50,100","59,535"
1081,"65,917","76,367"
1082,"51,936","60,093"
1083,"55,030","70,156"
1084,"58,750","74,722"
1085,"57,598","68,897"
1086,"93,611","83,650"
1088,"53,939","72,430"
1089,"53,711","64,226"
1092,"55,030","70,156"
1093,"59,722","72,440"
1094,"61,250","76,417"
1095,"89,486","101,878"
1096,"66,148","78,920"
1097,"63,980","78,391"
1098,"60,320","71,505"
1103,"16,963","25,747"
1104,"35,380","43,969"
1105,"17,756","27,144"
1106,"91,889","134,662"
1107,"23,557","33,974"
1108,"37,411","48,866"
1109,"34,638","44,049"
1118,"55,853","62,546"
1119,"45,184","52,187"
1128,"63,177","66,605"
1129,"58,704","66,403"
1151,"34,175","50,951"
1199,"48,306","58,759"
1201,"46,765","57,694"
1220,"38,379","50,308"
1222,"47,145","68,665"
1223,"48,478","71,204"
1224,"66,458","82,491"
1225,"57,419","75,267"
1226,"57,505","70,710"
1229,"55,096","70,740"
1230,"53,584","73,996"
1235,"63,877","73,062"
1236,"55,718","74,247"
1237,"69,659","87,759"
1238,"51,053","64,187"
1240,"60,458","74,117"
1242,"60,604","74,264"
1243,"60,320","71,505"
1244,"57,917","73,592"
1245,"63,152","90,383"
1247,"38,405","48,295"
1253,"62,955","97,075"
1254,"79,145","103,371"
1255,"62,955","97,075"
1256,"54,167","59,862"
1257,"47,145","68,665"
